model,organ,contrast_type,25%,Median,75%
UNETR,postcava,Arterial,0.6164529770612717,0.7109461724758148,0.7806204408407211
UNETR,postcava,Venous,0.7012779116630554,0.7695904076099396,0.8182265311479568
UNETR,spleen,Arterial,0.9099786877632141,0.9375044107437134,0.9520271122455596
UNETR,spleen,Venous,0.9283025115728378,0.9461631178855896,0.9566074162721634
UNETR,stomach,Arterial,0.8779726028442383,0.9088349640369414,0.9294936507940292
UNETR,stomach,Venous,0.8803622722625732,0.911595344543457,0.9298603534698486
UniSeg,aorta,Arterial,0.857229009270668,0.8999872207641602,0.916386604309082
UniSeg,aorta,Venous,0.7155402451753616,0.7777465283870697,0.8707230240106583
UniSeg,gall_bladder,Arterial,0.8222534209489822,0.8712927997112274,0.9019968062639236
UniSeg,gall_bladder,Venous,0.8455814123153687,0.8896456956863403,0.9171919226646424
UniSeg,kidney_left,Arterial,0.9099033921957016,0.922465592622757,0.9330951869487761
UniSeg,kidney_left,Venous,0.9103208035230637,0.923565834760666,0.934788852930069
UniSeg,kidney_right,Arterial,0.92045795917511,0.932992696762085,0.9432430863380432
UniSeg,kidney_right,Venous,0.918653666973114,0.9312399625778198,0.9412978291511536
UniSeg,liver,Arterial,0.9582400321960448,0.9635510444641112,0.9674342274665833
UniSeg,liver,Venous,0.9640623331069946,0.9679574966430664,0.9709970951080322
UniSeg,pancreas,Arterial,0.8142574280500412,0.8489011526107788,0.87266905605793
UniSeg,pancreas,Venous,0.8324301242828369,0.8626518845558167,0.883328378200531
UniSeg,postcava,Arterial,0.7581094056367874,0.8084746301174164,0.8523096740245819
UniSeg,postcava,Venous,0.7967869192361832,0.8429161310195923,0.8751544505357742
UniSeg,spleen,Arterial,0.945241391658783,0.9543357491493224,0.9612537622451782
UniSeg,spleen,Venous,0.948557883501053,0.9571359157562256,0.9635408818721771
UniSeg,stomach,Arterial,0.9283252507448198,0.9455839395523071,0.9552823603153229
UniSeg,stomach,Venous,0.927653193473816,0.9453322291374208,0.955629587173462
nnU-Net U-Net,aorta,Arterial,0.832188218832016,0.8996936976909637,0.9187039881944655
nnU-Net U-Net,aorta,Venous,0.7227330803871155,0.8041641712188721,0.8854840397834778
nnU-Net U-Net,gall_bladder,Arterial,0.8227406442165375,0.8731598556041718,0.903227299451828
nnU-Net U-Net,gall_bladder,Venous,0.8436377644538879,0.8914992809295654,0.9197939038276672
nnU-Net U-Net,kidney_left,Arterial,0.9140461832284928,0.926899641752243,0.937070205807686
nnU-Net U-Net,kidney_left,Venous,0.914366900920868,0.9275473654270172,0.939035177230835
nnU-Net U-Net,kidney_right,Arterial,0.923073709011078,0.9363970160484314,0.9469929933547974
nnU-Net U-Net,kidney_right,Venous,0.9221151471138,0.9349114298820496,0.9449724555015564
nnU-Net U-Net,liver,Arterial,0.9582999348640442,0.9642367959022522,0.9685452580451964
nnU-Net U-Net,liver,Venous,0.9650705456733704,0.9691614508628844,0.972484290599823
nnU-Net U-Net,pancreas,Arterial,0.8079077899456024,0.846015453338623,0.8719776719808578
nnU-Net U-Net,pancreas,Venous,0.8304845094680786,0.8623237013816833,0.8851411938667297
